"district_id","state_id","n_non","n_dalit","emp_rate_non","emp_rate_dalit","within_gap"
0,"(04) Chandigarh 04",310,48,33.2258064516129,35.4166666666667,2.19086021505377
0,"(11) Sikkim 11",476,27,34.8739495798319,40.7407407407407,5.86679116090881
0,"(16) Tripura 16",763,156,41.9397116644823,42.9487179487179,1.00900628423565
0,"(34) Pondicherry 34",373,45,40.2144772117962,37.7777777777778,-2.43669943401846
1,"(02) Himachal Pradesh 02",408,165,64.4607843137255,69.0909090909091,4.6301247771836
1,"(03) Punjab 03",630,452,32.5396825396825,35.6194690265487,3.07978648686613
1,"(06) Haryana 06",135,77,37.7777777777778,33.7662337662338,-4.01154401154401
1,"(07) Delhi 07",360,213,28.8888888888889,28.169014084507,-0.719874804381842
1,"(09) Uttar Pradesh 09",284,250,42.6056338028169,36.8,-5.8056338028169
1,"(19) West Bengal 19",306,280,51.3071895424837,46.4285714285714,-4.87861811391222
1,"(21) Orissa 21",272,46,58.0882352941177,47.8260869565217,-10.2621483375959
1,"(24) Gujarat 24",322,75,43.167701863354,40,-3.16770186335403
1,"(28) Andhra Pradesh 28",325,186,49.2307692307692,55.3763440860215,6.14557485525227
1,"(29) Karnataka 29",304,40,43.421052631579,37.5,-5.92105263157895
1,"(33) Tamil Nadu 33",71,192,39.4366197183099,47.9166666666667,8.48004694835682
2,"(02) Himachal Pradesh 02",964,192,51.6597510373444,41.6666666666667,-9.99308437067774
2,"(03) Punjab 03",380,303,35.5263157894737,42.9042904290429,7.37797463956922
2,"(06) Haryana 06",700,461,35,34.70715835141,-0.29284164859002
2,"(09) Uttar Pradesh 09",344,98,45.6395348837209,30.6122448979592,-15.0272899857617
2,"(10) Bihar 10",635,214,31.6535433070866,36.9158878504673,5.26234454338067
2,"(18) Assam 18",944,102,31.0381355932203,33.3333333333333,2.29519774011299
2,"(19) West Bengal 19",380,397,41.0526315789474,41.3098236775819,0.257192098634491
2,"(20) Jharkhand 20",453,115,36.8653421633554,40,3.13465783664459
2,"(21) Orissa 21",292,65,36.3013698630137,38.4615384615385,2.16016859852477
2,"(22) Chhattisgarh 22",779,21,46.5982028241335,42.8571428571429,-3.74105996699065
2,"(23) Madhya Pradesh 23",386,196,46.1139896373057,42.8571428571429,-3.25684678016285
2,"(27) Maharashtra 27",334,23,34.1317365269461,34.7826086956522,0.650872168706059
2,"(28) Andhra Pradesh 28",631,71,45.9587955625991,57.7464788732394,11.7876833106404
2,"(29) Karnataka 29",671,182,46.3487332339791,51.0989010989011,4.75016786492196
2,"(33) Tamil Nadu 33",477,190,34.8008385744235,34.7368421052632,-0.0639964691603225
3,"(03) Punjab 03",316,236,39.2405063291139,38.5593220338983,-0.681184295215616
3,"(06) Haryana 06",180,24,32.2222222222222,33.3333333333333,1.11111111111111
3,"(09) Uttar Pradesh 09",674,57,35.0148367952522,40.3508771929825,5.33604039773023
