"district_id","state_id","n_sample","muslim_share","employment_rate"
6,"(02) Himachal Pradesh 02",644,0,61.9565217391304
6,"(06) Haryana 06",334,1.49700598802395,44.311377245509
6,"(08) Rajasthan 08",1071,22.5957049486461,46.031746031746
6,"(09) Uttar Pradesh 09",214,25.7009345794392,51.8691588785047
6,"(10) Bihar 10",203,14.7783251231527,33.0049261083744
6,"(18) Assam 18",1259,43.1294678316124,40.6671961874504
6,"(19) West Bengal 19",1022,55.8708414872798,45.8904109589041
6,"(21) Orissa 21",523,0,40.1529636711281
6,"(22) Chhattisgarh 22",196,0,62.2448979591837
6,"(24) Gujarat 24",560,0.892857142857143,38.3928571428571
6,"(27) Maharashtra 27",382,0,59.1623036649215
6,"(28) Andhra Pradesh 28",391,12.2762148337596,29.6675191815857
6,"(29) Karnataka 29",330,16.969696969697,48.1818181818182
6,"(32) Kerala 32",396,35.7868020304569,31.0606060606061
6,"(33) Tamil Nadu 33",166,3.01204819277108,39.1566265060241
7,"(03) Punjab 03",699,3.29041487839771,45.3505007153076
7,"(07) Delhi 07",305,2.62295081967213,34.7540983606557
7,"(08) Rajasthan 08",825,7.15151515151515,50.0606060606061
7,"(09) Uttar Pradesh 09",233,39.4849785407725,27.8969957081545
7,"(19) West Bengal 19",784,52.4234693877551,40.5612244897959
7,"(21) Orissa 21",450,1.11111111111111,50.4444444444444
7,"(22) Chhattisgarh 22",301,0,54.8172757475083
7,"(24) Gujarat 24",1475,8.49184782608696,38.4406779661017
7,"(27) Maharashtra 27",1075,16,46.3255813953488
7,"(28) Andhra Pradesh 28",157,15.9235668789809,37.5796178343949
7,"(29) Karnataka 29",645,23.7209302325581,46.8217054263566
7,"(32) Kerala 32",782,23.3632862644416,39.002557544757
8,"(02) Himachal Pradesh 02",755,0,75.6291390728477
8,"(05) Uttarakhand 05",135,0,59.2592592592593
8,"(06) Haryana 06",1293,4.02165506573859,38.4377416860015
8,"(07) Delhi 07",105,0,48.5714285714286
8,"(08) Rajasthan 08",776,1.03092783505155,46.3917525773196
8,"(19) West Bengal 19",812,36.8226600985222,47.2906403940887
8,"(21) Orissa 21",1179,7.97285835453774,39.1009329940628
8,"(22) Chhattisgarh 22",250,2,59.6
8,"(23) Madhya Pradesh 23",799,1.00125156445557,53.8172715894869
8,"(24) Gujarat 24",801,8.86392009987516,46.5667915106117
8,"(27) Maharashtra 27",235,6.38297872340426,34.0425531914894
8,"(29) Karnataka 29",366,24.5901639344262,46.9945355191257
8,"(32) Kerala 32",696,11.3505747126437,39.367816091954
9,"(02) Himachal Pradesh 02",148,2.7027027027027,38.5135135135135
9,"(03) Punjab 03",921,0.651465798045603,38.9793702497286
9,"(05) Uttarakhand 05",417,0,58.7529976019185
9,"(06) Haryana 06",672,4.16666666666667,41.5178571428571
9,"(07) Delhi 07",264,4.54545454545455,28.030303030303
9,"(08) Rajasthan 08",161,0,40.9937888198758
9,"(09) Uttar Pradesh 09",474,26.3713080168776,29.957805907173
9,"(10) Bihar 10",214,4.20560747663551,35.981308411215
9,"(18) Assam 18",778,28.2945736434109,38.4318766066838
9,"(19) West Bengal 19",1847,14.9972929074174,38.3324309691391
9,"(21) Orissa 21",627,0,32.3763955342903
9,"(22) Chhattisgarh 22",800,3.25,60.625
9,"(23) Madhya Pradesh 23",626,0,67.0926517571885
9,"(24) Gujarat 24",189,0,36.5079365079365
9,"(27) Maharashtra 27",223,26.457399103139,41.7040358744395
9,"(29) Karnataka 29",365,11.2328767123288,47.945205479452
9,"(32) Kerala 32",251,3.58565737051793,54.9800796812749
9,"(33) Tamil Nadu 33",202,0,52.4752475247525
10,"(02) Himachal Pradesh 02",626,3.19488817891374,61.8210862619808
10,"(03) Punjab 03",234,0,37.6068376068376
10,"(06) Haryana 06",299,0,48.8294314381271
10,"(07) Delhi 07",2553,20.0940070505288,31.4531923227575
10,"(08) Rajasthan 08",377,2.6525198938992,44.5623342175066
10,"(09) Uttar Pradesh 09",382,34.5549738219895,27.7486910994764
10,"(19) West Bengal 19",845,16.6863905325444,41.6568047337278
10,"(22) Chhattisgarh 22",1335,2.02247191011236,53.2584269662921
10,"(23) Madhya Pradesh 23",455,0,55.3846153846154
10,"(24) Gujarat 24",630,6.34920634920635,44.7619047619048
10,"(27) Maharashtra 27",234,0,53.8461538461538
10,"(28) Andhra Pradesh 28",396,6.81818181818182,51.010101010101
10,"(29) Karnataka 29",475,0.631578947368421,47.7894736842105
10,"(32) Kerala 32",651,3.07219662058372,36.2519201228879
10,"(33) Tamil Nadu 33",564,1.06382978723404,56.9148936170213
11,"(02) Himachal Pradesh 02",797,0.627352572145546,63.9899623588457
11,"(03) Punjab 03",2021,0,45.3735774369124
11,"(05) Uttarakhand 05",493,7.30223123732252,53.3468559837728
11,"(07) Delhi 07",248,2.82258064516129,30.6451612903226
11,"(08) Rajasthan 08",125,0,45.6
11,"(19) West Bengal 19",1232,17.6136363636364,40.9090909090909
11,"(22) Chhattisgarh 22",557,0,43.6265709156194
11,"(27) Maharashtra 27",173,0,57.2254335260116
11,"(29) Karnataka 29",417,21.1031175059952,57.0743405275779
11,"(32) Kerala 32",900,16.8888888888889,36.6666666666667
12,"(01) Jammu & Kashmir 01",441,21.9954648526077,68.0272108843537
12,"(05) Uttarakhand 05",259,34.3629343629344,47.1042471042471
