"Variable","AME","AME_pp","SE","CI_lower_pp","CI_upper_pp","z_value","p_value","sig"
"Organisation Membership",0.000872784050905455,0.0872784050905455,1.25030814254487e-06,0.0870333446946067,0.0875234654864843,698.055160329515,0,"***"
"Education (per year)",0.00205967688029461,0.205967688029461,0.000379864345737484,0.131514276264914,0.280421099794007,5.42213793794168,5.88904098394405e-08,"***"
"Female (vs Male)",-0.264128189432663,-26.4128189432663,0.000329071144792265,-26.4773168876456,-26.3483209988871,-802.647675472735,0,"***"
"Wealth Index",-0.0101547190123163,-1.01547190123163,0.000393184842703439,-1.0925361304015,-0.938407672061756,-25.8268323430147,4.43122158939943e-147,"***"
"Urban (vs Rural)",-0.109381125973846,-10.9381125973846,0.000152998891216066,-10.968100380063,-10.9081248147063,-714.914501042872,0,"***"
