"Variable","AME","AME_pp","SE","CI_lower_pp","CI_upper_pp","z_value","p_value","sig"
"Org membership | Brahmins",0.0170916418467187,1.70916418467187,0.000108168407986004,1.68796317670661,1.73036519263712,158.00955348192,0,"***"
"Org membership | Forward_castes",0.00112756931571883,0.112756931571883,3.88605174582809e-06,0.111995265429701,0.113518597714065,290.158080609539,0,"***"
"Org membership | OBCs",-0.00444651372704249,-0.444651372704249,1.08664729877916e-05,-0.446781201409856,-0.442521543998642,-409.195672969334,0,"***"
"Org membership | Dalits",0.00369296903529568,0.369296903529568,1.1554373848014e-05,0.367032246255358,0.371561560803779,319.616543819071,0,"***"
"Org membership | Adivasis",-0.00241085326120315,-0.241085326120315,1.21856857396284e-05,-0.243473720525282,-0.238696931715348,-197.843052308739,0,"***"
"Org membership | Muslims",0.00868233034338631,0.868233034338631,3.63476742479579e-05,0.861108890186031,0.875357178491231,238.868937917647,0,"***"
"Org membership | Other_Religions",0.0107284355140795,1.07284355140795,8.82609512921728e-05,1.05554440495468,1.09014269786121,121.55359031385,0,"***"
