"term","estimate","std.error","statistic","p.value","conf.low","conf.high","sig"
"(Intercept)",-3.16342712355268,0.0590656765429926,-53.5577903903309,0,-3.27919584957695,-3.04765839752841,"***"
"org_membership",0.0791700944207158,0.0226892904337058,3.48931557168071,0.000484259091826362,0.0346990851706524,0.123641103670779,"***"
"education_years",0.0108717651170177,0.00158793833098002,6.84646557420655,7.56968508830269e-12,0.00775940598829685,0.0139841242457385,"***"
"social_groupForward_castes",0.225064002124211,0.0312499038873709,7.20207021869166,5.93051354940093e-13,0.163814190504964,0.286313813743458,"***"
"social_groupOBCs",0.368843711091789,0.0299186670900336,12.3282133519463,6.38466831106433e-35,0.310203123595323,0.427484298588254,"***"
"social_groupDalits",0.253094822204694,0.0312025609483665,8.11134773916512,5.00613631341314e-16,0.191937802745896,0.314251841663493,"***"
"social_groupAdivasis",0.578283911818756,0.0373527474723725,15.4816968215384,4.61147344510531e-54,0.505072526772906,0.651495296864606,"***"
"social_groupMuslims",-0.0805694470685815,0.0330379245637744,-2.43869577560949,0.0147403718316272,-0.145323779213579,-0.0158151149235837,"*"
"social_groupOther_Religions",0.289777546386521,0.0477467931146805,6.06904731152352,1.28671239861016e-09,0.196193831881748,0.383361260891295,"***"
"female",-1.92878379855687,0.0137816351098149,-139.953190110456,0,-1.95579580337211,-1.90177179374163,"***"
"age",0.345682960244231,0.00171669546781121,201.365336325479,0,0.342318237127321,0.349047683361141,"***"
"age_sq",-0.00393734416856313,2.15138112824627e-05,-183.014720956147,0,-0.00397951123867675,-0.0038951770984495,"***"
"wealth_index",-0.104013902903285,0.00130049932600953,-79.979974478297,0,-0.106562881582263,-0.101464924224306,"***"
"factor(STATEID_ind)(02) Himachal Pradesh 02",1.31500095827325,0.0566902765538886,23.1962346668611,4.96962027359916e-119,1.20388801622763,1.42611390031888,"***"
"factor(STATEID_ind)(03) Punjab 03",-0.234178206367576,0.0528163874353286,-4.43381718702963,9.25791368291277e-06,-0.33769832574082,-0.130658086994332,"***"
"factor(STATEID_ind)(04) Chandigarh 04",-0.453653579670873,0.150255697547649,-3.01921049966849,0.00253434376416895,-0.748154746864264,-0.159152412477482,"**"
"factor(STATEID_ind)(05) Uttarakhand 05",0.209126639363153,0.0706203149423627,2.96128160195595,0.00306361685203736,0.0707108220761225,0.347542456650184,"**"
"factor(STATEID_ind)(06) Haryana 06",-0.318884659842312,0.0511138068691723,-6.23871864325249,4.41169671026788e-10,-0.41906772130589,-0.218701598378735,"***"
"factor(STATEID_ind)(07) Delhi 07",-0.726502879688735,0.058778090961143,-12.3600965565386,4.29640360335802e-35,-0.841707937972576,-0.611297821404895,"***"
"factor(STATEID_ind)(08) Rajasthan 08",0.114433629043615,0.048704373765796,2.34955549564994,0.0187958419993138,0.0189730564626547,0.209894201624575,"*"
"factor(STATEID_ind)(09) Uttar Pradesh 09",-0.281038878596051,0.0466060064956275,-6.03009997482658,1.63858280821417e-09,-0.372386651327481,-0.189691105864621,"***"
"factor(STATEID_ind)(10) Bihar 10",-1.1610827724133,0.0533913327759831,-21.7466527251702,7.43075683850811e-105,-1.26572978465423,-1.05643576017237,"***"
"factor(STATEID_ind)(11) Sikkim 11",-1.16547001776474,0.126208007311285,-9.23451722750185,2.59453361203622e-20,-1.41283771209485,-0.918102323434619,"***"
"factor(STATEID_ind)(12) Arunachal Pradesh 12",-1.11047382929931,0.115255959061641,-9.63484958470055,5.6975381313416e-22,-1.33637550906013,-0.884572149538496,"***"
"factor(STATEID_ind)(13) Nagaland 13",-0.959372511052709,0.122775802441923,-7.81401947266054,5.53925318113311e-15,-1.20001308383888,-0.71873193826654,"***"
"factor(STATEID_ind)(14) Manipur 14",-1.33320381336255,0.137948922164255,-9.66447430285183,4.26805527996968e-22,-1.60358370080448,-1.06282392592061,"***"
"factor(STATEID_ind)(15) Mizoram 15",0.252175120297054,0.154624533909081,1.63088685813166,0.102914195250958,-0.0508889661647454,0.555239206758853,""
"factor(STATEID_ind)(16) Tripura 16",-1.2444764702828,0.0977947047006673,-12.7253972911103,4.2729585663466e-37,-1.43615409149611,-1.05279884906949,"***"
"factor(STATEID_ind)(17) Meghalaya 17",-0.697019703515235,0.113737884348316,-6.1282984777583,8.88238388428524e-10,-0.919945956837934,-0.474093450192535,"***"
"factor(STATEID_ind)(18) Assam 18",-1.34167384722687,0.0579547914861445,-23.1503524181884,1.44191748403123e-118,-1.45526523853971,-1.22808245591403,"***"
"factor(STATEID_ind)(19) West Bengal 19",-0.92973249177889,0.0498752733964382,-18.6411507840534,1.49000673798881e-77,-1.02748802763591,-0.831976955921871,"***"
"factor(STATEID_ind)(20) Jharkhand 20",-0.833442868424072,0.0597773567330115,-13.9424510211541,3.49720674186566e-44,-0.950606487620774,-0.716279249227369,"***"
"factor(STATEID_ind)(21) Orissa 21",-1.09342753462832,0.0514923363281341,-21.2347625413707,4.55990925120907e-100,-1.19435251383147,-0.992502555425182,"***"
"factor(STATEID_ind)(22) Chhattisgarh 22",0.339955868817519,0.0567600122297377,5.98935510164337,2.10674729652033e-09,0.228706244847233,0.451205492787805,"***"
"factor(STATEID_ind)(23) Madhya Pradesh 23",0.238814574714071,0.0491488884243135,4.85900256079712,1.17978607923207e-06,0.142482753402417,0.335146396025726,"***"
"factor(STATEID_ind)(24) Gujarat 24",-0.426070058600503,0.0510992053228256,-8.33809559089524,7.54965333437054e-17,-0.526224501033241,-0.325915616167765,"***"
