"district_id","state_id","n_sample","sc_share","st_share","employment_rate"
28,"(21) Orissa 21",123,77.2357723577236,16.260162601626,39.8373983739837
1,"(33) Tamil Nadu 33",263,73.0038022813688,0,45.6273764258555
9,"(33) Tamil Nadu 33",202,69.8019801980198,0,52.4752475247525
8,"(05) Uttarakhand 05",135,66.6666666666667,0,59.2592592592593
20,"(21) Orissa 21",168,65.4761904761905,0,41.0714285714286
16,"(33) Tamil Nadu 33",185,62.1621621621622,0,54.5945945945946
31,"(08) Rajasthan 08",192,58.3333333333333,3.64583333333333,44.7916666666667
5,"(03) Punjab 03",466,56.8669527896996,0,36.6952789699571
4,"(03) Punjab 03",505,55.6435643564356,0,35.4455445544554
9,"(05) Uttarakhand 05",417,53.7170263788969,0,58.7529976019185
13,"(33) Tamil Nadu 33",165,52.7272727272727,0,42.4242424242424
11,"(07) Delhi 07",248,52.4193548387097,2.41935483870968,30.6451612903226
2,"(19) West Bengal 19",777,51.0939510939511,15.7014157014157,41.1840411840412
11,"(03) Punjab 03",2021,51.0153541357107,0,45.3735774369124
10,"(33) Tamil Nadu 33",564,50,0,56.9148936170213
