"social_group_broad","n","pct_Casual","pct_Permanent","pct_Temporary"
"Adivasi (ST)",5585,89.7761862130707,0,10.2238137869293
"Dalit (SC)",10763,88.3954287837963,0,11.6045712162037
"Forward/Upper",4513,72.6789275426546,0,27.3210724573454
"Muslim",3177,85.2691218130312,0,14.7308781869688
"OBC",12152,87.4753127057274,0,12.5246872942725
