"Group","Estimate","StdError","P_Value","pct_penalty","sig"
"social_groupForward_castes",-0.238744310236528,0.0389249804882679,8.68752925427137e-10,-21.2,"***"
"social_groupOBCs",-0.311034359330369,0.0367109032388666,2.48959661741947e-17,-26.7,"***"
"social_groupDalits",-0.209651976682802,0.036762194212915,1.18676927181234e-08,-18.9,"***"
"social_groupAdivasis",-0.370118905584463,0.0386848566291349,1.16072620452775e-21,-30.9,"***"
"social_groupMuslims",-0.165568546419221,0.0401550590517974,3.74420852805821e-05,-15.3,"***"
"social_groupOther_Religions",-0.237352336177621,0.0628410688423485,0.000158963738500883,-21.1,"***"
