"Variable","AME","AME_pp","SE","CI_lower_pp","CI_upper_pp","z_value","p_value","sig"
"Forward_castes (vs Brahmins)",0.0319431444286545,3.19431444286545,4.59551394543322e-05,3.1853072355324,3.2033216501985,695.094059292278,0,"***"
"OBCs (vs Brahmins)",0.0625579918316645,6.25579918316645,8.92123616552485e-05,6.23831356028202,6.27328480605088,701.225600028537,0,"***"
"Dalits (vs Brahmins)",0.0583580041296135,5.83580041296135,8.33227111501425e-05,5.81946916157593,5.85213166434678,700.38532501008,0,"***"
"Adivasis (vs Brahmins)",0.0817970851328915,8.17970851328915,0.000116010461702595,8.15697046279544,8.20244656378286,705.08369618067,0,"***"
"Muslims (vs Brahmins)",0.0208533242998965,2.08533242998965,3.00974550751439e-05,2.07943332879493,2.09123153118438,692.86005238092,0,"***"
"Other_Religions (vs Brahmins)",0.0528884277119076,5.28884277119076,7.56314761741488e-05,5.27401900186063,5.3036665405209,699.291226183751,0,"***"
