"term","estimate","std.error","p.value","odds_ratio","sig"
"org_membership:social_groupForward_castes",-0.119620978743128,0.178545747148731,0.502938657380596,0.887256662130091,""
"org_membership:social_groupOBCs",-0.161334158301662,0.181948156302864,0.375326756268541,0.851007652317548,""
"org_membership:social_groupDalits",-0.0996338721575397,0.190395807286798,0.600814538500185,0.90516876486155,""
"org_membership:social_groupAdivasis",-0.147071399208986,0.264234405173822,0.577856235385288,0.863232341109628,""
"org_membership:social_groupMuslims",-0.0595962397441244,0.189295166728629,0.752916212438571,0.942144857447967,""
"org_membership:social_groupOther_Religions",-0.0525019967495105,0.218607253890646,0.810222113272466,0.948852426433292,""
