"social_group_broad","pct_Paid_Leave","pct_Meals","pct_Formal_Index_1plus","mean_Formal_Score"
"Adivasi (ST)",98.3903056610599,NA,97.4037600716204,0.974037600716204
"Dalit (SC)",98.3881487002702,NA,98.1139087614977,0.981139087614977
"Forward/Upper",98.3493196520187,NA,97.6512297806337,0.976512297806337
"Muslim",93.8408085912824,NA,93.5158954988983,0.935158954988983
"OBC",97.8001984783328,NA,97.3173140223831,0.973173140223832
