"social_group","urban_rural","n","employment_rate","mean_education","mean_wealth","org_rate"
"Brahmins","Rural",5525,0.46606334841629,6.38446215139442,16.8219004524887,0.0708333333333333
"Brahmins","Urban",4654,0.316716802750322,9.24849527085125,22.8154608096469,0.0663944993553932
"Forward_castes","Rural",19341,0.497388966444341,5.84546913005227,16.6667700739362,0.140677527799328
"Forward_castes","Urban",13446,0.34136546184739,8.53466746019937,22.1778967722743,0.109556415599881
"OBCs","Rural",47196,0.508941435714891,4.60340219742926,13.6705099402314,0.0814970492081688
"OBCs","Urban",21079,0.363726932017648,6.71817533856023,19.6775862887528,0.101117185642976
"Dalits","Rural",30371,0.492673932369695,3.93205643832004,12.2789034957662,0.0852283962823809
"Dalits","Urban",12766,0.364248785837381,5.78449357165256,18.1906889254644,0.0699827396830378
"Adivasis","Rural",14909,0.558789992621906,3.65244557914539,10.0655033557047,0.0794301458235334
"Adivasis","Urban",2471,0.380008093889114,6.65546558704453,18.6423357664234,0.123682076236821
"Muslims","Rural",14711,0.396709944939161,3.57928780554232,12.5758111693082,0.0487141107633692
"Muslims","Urban",12630,0.307442596991291,5.10282226097986,18.5585599873127,0.063275039745628
"Other_Religions","Rural",3032,0.409300791556728,6.85922009253139,21.9957124010554,0.148087071240106
"Other_Religions","Urban",2356,0.359083191850594,8.69341825902336,23.4091680814941,0.157894736842105
