"social_group","n","employment_rate","mean_wealth","mean_education","org_membership_rate","urban_share","employment_rank","wealth_rank","education_rank"
"Brahmins",10179,0.397779742607329,19.5590520208477,7.694023982701,0.0688028307450364,0.457215836526181,5,2,1
"Forward_castes",32787,0.433403483087809,18.9268917558789,6.94872577445445,0.127917976259498,0.410101564644524,4,3,3
"OBCs",68275,0.464108385206884,15.5245219429995,5.25606018389524,0.0875537488443081,0.308736726473819,2,4,4
"Dalits",43137,0.454667686672694,14.0285780561355,4.48043629612439,0.0807185295209803,0.295940839650416,3,6,5
"Adivasis",17380,0.53337169159954,11.2834273868479,4.0798663132419,0.0857208739263273,0.142174913693901,1,7,7
"Muslims",27341,0.355473464759884,15.3382762155829,4.28321306911835,0.0554292836718235,0.461943601185033,7,5,6
"Other_Religions",5388,0.387342242019302,22.6137713437268,7.66195874372793,0.152375649591685,0.437268002969562,6,1,2
