"variable","estimate","std.error","z.value","p.value"
"(Intercept)",-3.16342712355268,0.0590656765429926,-53.5577903903309,0
"org_membership",0.0791700944207158,0.0226892904337058,3.48931557168071,0.000484259091826362
"education_years",0.0108717651170177,0.00158793833098002,6.84646557420655,7.56968508830269e-12
"social_groupForward_castes",0.225064002124211,0.0312499038873709,7.20207021869166,5.93051354940093e-13
"social_groupOBCs",0.368843711091789,0.0299186670900336,12.3282133519463,6.38466831106433e-35
"social_groupDalits",0.253094822204694,0.0312025609483665,8.11134773916512,5.00613631341314e-16
"social_groupAdivasis",0.578283911818756,0.0373527474723725,15.4816968215384,4.61147344510531e-54
"social_groupMuslims",-0.0805694470685815,0.0330379245637744,-2.43869577560949,0.0147403718316272
