"district_id","state_id","n_sample","sc_share","st_share","employment_rate"
0,"(04) Chandigarh 04",358,13.4078212290503,0,33.5195530726257
0,"(11) Sikkim 11",503,5.36779324055666,14.1153081510934,35.1888667992048
0,"(12) Arunachal Pradesh 12",668,1.19940029985008,88.6056971514243,38.0239520958084
0,"(13) Nagaland 13",508,0,79.5275590551181,36.6141732283465
0,"(14) Manipur 14",481,0,0,31.3929313929314
0,"(15) Mizoram 15",347,0,97.6945244956772,53.8904899135447
0,"(16) Tripura 16",919,16.974972796518,30.7943416757345,42.1109902067465
0,"(17) Meghalaya 17",686,2.1865889212828,89.6501457725947,43.731778425656
0,"(25) Daman & Diu 25",272,0,36.7647058823529,41.1764705882353
0,"(26) Dadra+Nagar Haveli 26",314,3.5031847133758,63.6942675159236,45.859872611465
0,"(34) Pondicherry 34",418,10.7655502392345,0,39.9521531100478
1,"(02) Himachal Pradesh 02",573,28.7958115183246,17.4520069808028,65.7940663176265
1,"(03) Punjab 03",1082,41.7744916820702,0,33.826247689464
1,"(06) Haryana 06",212,36.3207547169811,0,36.3207547169811
1,"(07) Delhi 07",573,37.17277486911,0,28.6212914485166
1,"(09) Uttar Pradesh 09",534,46.8164794007491,0,39.8876404494382
1,"(19) West Bengal 19",586,47.7815699658703,22.8668941979522,48.9761092150171
1,"(21) Orissa 21",318,14.4654088050314,22.3270440251572,56.6037735849057
1,"(22) Chhattisgarh 22",311,4.5016077170418,54.0192926045016,60.128617363344
1,"(23) Madhya Pradesh 23",167,0,19.1616766467066,51.497005988024
1,"(24) Gujarat 24",397,18.8916876574307,1.51133501259446,42.5692695214106
1,"(27) Maharashtra 27",376,1.59574468085106,79.7872340425532,45.4787234042553
1,"(28) Andhra Pradesh 28",511,36.399217221135,4.10958904109589,51.46771037182
1,"(29) Karnataka 29",344,11.6279069767442,5.23255813953488,42.7325581395349
1,"(30) Goa 30",607,0.823723228995058,7.41350906095552,26.3591433278418
1,"(33) Tamil Nadu 33",263,73.0038022813688,0,45.6273764258555
2,"(01) Jammu & Kashmir 01",1083,0,3.69344413665743,41.735918744229
2,"(02) Himachal Pradesh 02",1156,16.6089965397924,11.0726643598616,50
2,"(03) Punjab 03",683,44.3631039531479,0,38.7994143484627
2,"(06) Haryana 06",1161,39.7071490094746,0.344530577088717,34.8837209302326
2,"(07) Delhi 07",131,7.63358778625954,0,37.4045801526718
2,"(09) Uttar Pradesh 09",442,22.1719457013575,0,42.3076923076923
2,"(10) Bihar 10",849,25.206124852768,0.588928150765607,32.979976442874
2,"(18) Assam 18",1046,9.75143403441682,8.22179732313576,31.2619502868069
2,"(19) West Bengal 19",777,51.0939510939511,15.7014157014157,41.1840411840412
2,"(20) Jharkhand 20",568,20.2464788732394,6.16197183098592,37.5
2,"(21) Orissa 21",357,18.2072829131653,21.2885154061625,36.6946778711485
2,"(22) Chhattisgarh 22",800,2.625,29.375,46.5
2,"(23) Madhya Pradesh 23",582,33.6769759450172,0,45.0171821305842
2,"(27) Maharashtra 27",357,6.44257703081232,8.40336134453782,34.1736694677871
2,"(28) Andhra Pradesh 28",702,10.1139601139601,12.2507122507123,47.1509971509972
2,"(29) Karnataka 29",853,21.3364595545135,4.80656506447831,47.3622508792497
2,"(30) Goa 30",150,0,4.66666666666667,20
2,"(32) Kerala 32",421,0.715990453460621,0,27.5534441805226
2,"(33) Tamil Nadu 33",671,28.4857571214393,0,34.7242921013413
3,"(01) Jammu & Kashmir 01",628,1.44230769230769,1.6025641025641,33.2802547770701
3,"(03) Punjab 03",552,42.7536231884058,0,38.9492753623188
3,"(06) Haryana 06",204,11.7647058823529,0,32.3529411764706
3,"(07) Delhi 07",135,0,0,34.8148148148148
3,"(08) Rajasthan 08",217,1.86915887850467,0,31.3364055299539
3,"(09) Uttar Pradesh 09",731,7.79753761969904,0,35.4309165526676
3,"(18) Assam 18",182,14.2857142857143,9.34065934065934,32.967032967033
3,"(21) Orissa 21",242,23.5537190082645,19.4214876033058,48.3471074380165
3,"(22) Chhattisgarh 22",154,14.2857142857143,72.0779220779221,66.8831168831169
3,"(24) Gujarat 24",87,3.44827586206897,0,57.4712643678161
3,"(27) Maharashtra 27",728,8.51648351648352,8.51648351648352,50.2747252747253
3,"(28) Andhra Pradesh 28",800,27.875,0.5,49
3,"(29) Karnataka 29",507,24.2603550295858,2.76134122287968,43.5897435897436
3,"(33) Tamil Nadu 33",166,36.144578313253,0,35.5421686746988
4,"(02) Himachal Pradesh 02",643,23.1726283048211,1.08864696734059,61.8973561430793
4,"(03) Punjab 03",505,55.6435643564356,0,35.4455445544554
4,"(06) Haryana 06",560,18.0357142857143,0,44.6428571428571
4,"(07) Delhi 07",116,3.44827586206897,3.44827586206897,29.3103448275862
4,"(08) Rajasthan 08",1082,45.1016635859519,0,55.7301293900185
4,"(09) Uttar Pradesh 09",1439,11.3968033356498,0,34.5378735232801
4,"(19) West Bengal 19",186,18.8172043010753,3.2258064516129,35.4838709677419
4,"(22) Chhattisgarh 22",574,7.66550522648084,45.993031358885,60.1045296167247
4,"(23) Madhya Pradesh 23",210,12.3809523809524,0,35.7142857142857
4,"(24) Gujarat 24",301,13.6212624584718,0,48.5049833887043
4,"(28) Andhra Pradesh 28",1004,27.9880478087649,0.398406374501992,54.6812749003984
4,"(32) Kerala 32",403,0.992555831265509,0,27.5434243176179
4,"(33) Tamil Nadu 33",286,13.2867132867133,0,36.7132867132867
5,"(01) Jammu & Kashmir 01",760,0.526315789473684,0.657894736842105,48.1578947368421
5,"(02) Himachal Pradesh 02",1270,43.3070866141732,0,70.5511811023622
5,"(03) Punjab 03",466,56.8669527896996,0,36.6952789699571
5,"(05) Uttarakhand 05",322,32.6086956521739,0,37.888198757764
5,"(06) Haryana 06",945,48.7830687830688,0,41.9047619047619
5,"(08) Rajasthan 08",856,18.3411214953271,3.03738317757009,49.0654205607477
5,"(09) Uttar Pradesh 09",446,19.2825112107623,0,42.6008968609865
5,"(10) Bihar 10",823,23.2077764277035,4.61725394896719,40.5832320777643
5,"(21) Orissa 21",787,15.3748411689962,60.9911054637865,44.5997458703939
5,"(22) Chhattisgarh 22",98,0,93.8775510204082,63.265306122449
5,"(23) Madhya Pradesh 23",1059,19.452313503305,1.13314447592068,57.2237960339943
5,"(27) Maharashtra 27",450,22,3.77777777777778,54.2222222222222
5,"(28) Andhra Pradesh 28",590,26.1016949152542,0,35.0847457627119
5,"(29) Karnataka 29",1185,20.7100591715976,16.9907016060862,55.0210970464135
